symbol,side,order_type,time_in_force,original_quantity,price,average_price,order_status,order_last_filled_quantity,order_filled_accumulated_quantity,order_trade_time,usd_size
ZEREBRO,BUY,LIMIT,IOC,5524,0.0867232,0.0866769,FILLED,4195,5524,1745512476092,479.0589568
ZRO,BUY,LIMIT,IOC,86.7,2.8054000,2.7787000,FILLED,57.5,86.7,1745512476222,243.22818
MAGIC,SELL,LIMIT,IOC,3602.7,0.195786,0.197600,FILLED,263.4,3602.7,1745512476236,705.3582221999999
WCT,SELL,LIMIT,IOC,3039,0.3846209,0.3882000,FILLED,853,3039,1745512476236,1168.8629151
FARTCOIN,BUY,LIMIT,IOC,747.2,1.1148478,1.1072000,FILLED,442.6,747.2,1745512476236,833.01427616
BTCUSDC,BUY,LIMIT,IOC,0.004,93914.5,93553.4,FILLED,0.004,0.004,1745512476287,375.658
BTC,BUY,LIMIT,IOC,0.020,93863.32,93500.00,FILLED,0.020,0.020,1745512476395,1877.2664000000002
INIT,BUY,LIMIT,IOC,722,0.6226717,0.6172000,FILLED,236,722,1745512476453,449.5689674
SUI,BUY,LIMIT,IOC,662.0,3.317060,3.284900,FILLED,611.8,662.0,1745512476552,2195.89372
JELLYJELLY,BUY,LIMIT,IOC,103664,0.0249789,0.0245343,FILLED,1814,103664,1745512476552,2589.4126896
BRETT,BUY,LIMIT,IOC,25867,0.0545543,0.0540989,FILLED,916,25867,1745512476552,1411.1560781
LAYER,BUY,LIMIT,IOC,1001.8,2.262389,2.240698,FILLED,57.9,1001.8,1745512476552,2266.4613002
NEIROETH,BUY,LIMIT,IOC,31205,0.0618324,0.0614099,FILLED,8732,31205,1745512476552,1929.4800420000001
TRUMP,BUY,LIMIT,IOC,16.12,12.458399,12.357000,FILLED,16.12,16.12,1745512476603,200.82939188
PIXEL,BUY,LIMIT,IOC,414,0.0419150,0.0414700,FILLED,414,414,1745512477065,17.35281
ZEREBRO,BUY,LIMIT,IOC,684,0.0871159,0.0871159,FILLED,684,684,1745512477114,59.5872756
BROCCOLI714,SELL,LIMIT,IOC,100000,0.0293311,0.0298300,FILLED,98839,100000,1745512477155,2933.1099999999997
TURBO,BUY,LIMIT,IOC,29207,0.0053258,0.0052630,FILLED,10241,29207,1745512477179,155.5506406
NKN,BUY,LIMIT,IOC,2974,0.03576,0.03512,FILLED,81,2974,1745512477179,106.35024
VOXEL,BUY,LIMIT,IOC,1253,0.0703140,0.0693300,FILLED,1106,1253,1745512477179,88.103442
ENJ,BUY,LIMIT,IOC,1508,0.09246,0.09162,FILLED,1453,1508,1745512477179,139.42968
BSW,BUY,LIMIT,IOC,4914,0.0208992,0.0207500,FILLED,3975,4914,1745512477179,102.6986688
EPT,BUY,LIMIT,IOC,7181,0.0124780,0.0123191,FILLED,584,7181,1745512477179,89.604518
HYPER,BUY,LIMIT,IOC,717,0.2117152,0.2098000,FILLED,185,717,1745512477179,151.7997984
IO,BUY,LIMIT,IOC,922.2,0.7903742,0.7805962,FILLED,102.7,922.2,1745512477319,728.88308724
GRASS,BUY,LIMIT,IOC,6.2,1.6894946,1.6771000,FILLED,6.2,6.2,1745512477373,10.47486652
MOODENG,BUY,LIMIT,IOC,772,0.0376798,0.0374300,FILLED,772,772,1745512477392,29.0888056
BTC,BUY,LIMIT,IOC,0.113,93876.99,93500.00,FILLED,0.113,0.113,1745512477472,10608.09987
OM,SELL,LIMIT,IOC,10.0,0.8551300,0.8551300,FILLED,10.0,10.0,1745512477670,8.5513
ALPACA,BUY,LIMIT,IOC,70,0.0228054,0.0228054,FILLED,70,70,1745512477670,1.596378
VIRTUAL,BUY,LIMIT,IOC,51.2,0.7581676,0.7519000,FILLED,51.2,51.2,1745512478084,38.818181120000006
ZEREBRO,BUY,LIMIT,IOC,95429,0.0873935,0.0873935,FILLED,95429,95429,1745512478138,8339.8743115
HIFI,SELL,LIMIT,IOC,1805,0.2104804,0.2132000,FILLED,1242,1805,1745512478182,379.917122
BTC,BUY,LIMIT,IOC,0.023,93883.42,93500.00,FILLED,0.023,0.023,1745512478569,2159.31866
TURBO,BUY,LIMIT,IOC,1031,0.0053306,0.0052802,FILLED,1031,1031,1745512479083,5.4958485999999995
MOODENG,BUY,LIMIT,IOC,1802,0.0377061,0.0375900,FILLED,1642,1802,1745512479107,67.9463922
KERNEL,SELL,LIMIT,IOC,363,0.1680822,0.1695000,FILLED,363,363,1745512479107,61.01383859999999
AVAAI,BUY,LIMIT,IOC,1376,0.0435386,0.0430900,FILLED,1236,1376,1745512479107,59.9091136
INIT,SELL,LIMIT,IOC,91,0.6113029,0.6161000,FILLED,91,91,1745512479107,55.628563899999996
NEIROETH,BUY,LIMIT,IOC,7000,0.0615498,0.0615498,FILLED,7000,7000,1745512479128,430.84860000000003
ZEREBRO,BUY,LIMIT,IOC,5140,0.0874402,0.0874402,FILLED,5140,5140,1745512479142,449.44262799999996
B3,BUY,LIMIT,IOC,62872,0.0054000,0.0053553,FILLED,18056,62872,1745512479233,339.5088
POPCAT,BUY,LIMIT,IOC,677,0.3630719,0.3608000,FILLED,677,677,1745512479233,245.79967630000002
FIL,BUY,LIMIT,IOC,104.8,2.863,2.844,FILLED,61.1,104.8,1745512479233,300.0424
NOT,BUY,LIMIT,IOC,111015,0.0022836,0.0022650,FILLED,111015,111015,1745512479233,253.51385400000004
SWARMS,BUY,LIMIT,IOC,7348,0.0314363,0.0311889,FILLED,3176,7348,1745512479233,230.9939324
MOCA,BUY,LIMIT,IOC,2792,0.0845276,0.0838000,FILLED,2792,2792,1745512479233,236.0010592
BIGTIME,BUY,LIMIT,IOC,2595,0.0767900,0.0760417,FILLED,467,2595,1745512479233,199.27005
CAKE,BUY,LIMIT,IOC,166,2.0414040,2.0216000,FILLED,157,166,1745512479233,338.873064
SOL,BUY,LIMIT,IOC,2.63,152.0662,151.3300,FILLED,2.63,2.63,1745512479233,399.934106
ORDI,BUY,LIMIT,IOC,21.3,7.982274,7.932136,FILLED,2.9,21.3,1745512479233,170.02243620000002
LAYER,BUY,LIMIT,IOC,47.3,2.262694,2.240417,FILLED,8.5,47.3,1745512479233,107.0254262
LPT,BUY,LIMIT,IOC,45.7,5.237,5.188,FILLED,1.5,45.7,1745512479233,239.3309
AAVE,BUY,LIMIT,IOC,1.7,170.790,169.140,FILLED,1.7,1.7,1745512479233,290.34299999999996
AVAX,BUY,LIMIT,IOC,11,22.5792,22.4665,FILLED,6,11,1745512479233,248.3712
GLM,BUY,LIMIT,IOC,932,0.2838938,0.2798193,FILLED,7,932,1745512479233,264.58902159999997
LINK,BUY,LIMIT,IOC,18.85,15.123,15.052,FILLED,18.85,18.85,1745512479233,285.06855
UXLINK,BUY,LIMIT,IOC,484,0.4754051,0.4707000,FILLED,484,484,1745512479233,230.0960684
ONG,BUY,LIMIT,IOC,1191,0.2130371,0.2099800,FILLED,1191,1191,1745512479233,253.7271861
NEIRO,BUY,LIMIT,IOC,408952,0.00023537,0.00023330,FILLED,271000,408952,1745512479233,96.25503223999999
GOAT,BUY,LIMIT,IOC,2154,0.0668355,0.0666165,FILLED,1155,2154,1745512479233,143.96366700000002
VOXEL,BUY,LIMIT,IOC,2504,0.0703695,0.0693600,FILLED,2352,2504,1745512479233,176.205228
SYN,BUY,LIMIT,IOC,806,0.2672131,0.2632000,FILLED,806,806,1745512479233,215.37375859999997
UNI,BUY,LIMIT,IOC,48,5.9213,5.8860,FILLED,48,48,1745512479233,284.2224
JELLYJELLY,BUY,LIMIT,IOC,8566,0.0250103,0.0245200,FILLED,8566,8566,1745512479233,214.2382298
IP,SELL,LIMIT,IOC,122.0,3.681866,3.738240,FILLED,23.1,122.0,1745512479471,449.18765199999996
FARTCOIN,BUY,LIMIT,IOC,1034.9,1.1153192,1.1072000,FILLED,1.0,1034.9,1745512479471,1154.2438400800002
SAGA,BUY,LIMIT,IOC,1320.6,0.2776981,0.2751000,FILLED,1320.6,1320.6,1745512479471,366.72811085999996
SEI,BUY,LIMIT,IOC,2290,0.2039819,0.2021000,FILLED,2208,2290,1745512479471,467.11855099999997
ETH,BUY,LIMIT,IOC,0.349,1781.46,1774.24,FILLED,0.349,0.349,1745512479471,621.7295399999999
KOMA,BUY,LIMIT,IOC,21937,0.0239343,0.0237628,FILLED,6187,21937,1745512479471,525.0467391
MAGIC,BUY,LIMIT,IOC,239.8,0.199639,0.197700,FILLED,239.8,239.8,1745512479471,47.8734322
TON,BUY,LIMIT,IOC,95.7,3.2087544,3.1884981,FILLED,24.0,95.7,1745512479484,307.07779608000004
GAS,BUY,LIMIT,IOC,143.4,3.374423,3.348000,FILLED,7.4,143.4,1745512480065,483.8922582000001
ARC,BUY,LIMIT,IOC,58715,0.0547629,0.0540923,FILLED,1761,58715,1745512480092,3215.4036735
