symbol,side,order_type,time_in_force,original_quantity,price,average_price,order_status,order_last_filled_quantity,order_filled_accumulated_quantity,order_trade_time,usd_size
FARTCOIN,SELL,LIMIT,IOC,411.4,1.0630019,1.0727000,FILLED,406.7,411.4,1745784673096,437.31898165999996
GUN,SELL,LIMIT,IOC,3750,0.0619980,0.0626795,FILLED,17,3750,1745784678453,232.49249999999998
FLUX,SELL,LIMIT,IOC,22,0.2848097,0.2872000,FILLED,22,22,1745784699055,6.2658134
FLUX,SELL,LIMIT,IOC,22,0.2845218,0.2872000,FILLED,22,22,1745784704445,6.2594796
KDA,SELL,LIMIT,IOC,1774,0.5559868,0.5601006,FILLED,110,1774,1745784718271,986.3205832
INIT,SELL,LIMIT,IOC,222,0.7025127,0.7086360,FILLED,142,222,1745784758094,155.9578194
PUMP,BUY,LIMIT,IOC,13855,0.0845375,0.0825833,FILLED,23,13855,1745784763408,1171.2670625
SPELL,SELL,LIMIT,IOC,7865,0.0006459,0.0006552,FILLED,5461,7865,1745784801195,5.0800035
TON,BUY,LIMIT,IOC,179.8,3.3686958,3.3377200,FILLED,35.4,179.8,1745784816271,605.69150484
FLM,SELL,LIMIT,IOC,582,0.0369,0.0375,FILLED,582,582,1745784819043,21.4758
PARTI,SELL,LIMIT,IOC,12000,0.1852632,0.1870000,FILLED,1590,12000,1745784844474,2223.1584
INIT,SELL,LIMIT,IOC,1657,0.7018420,0.7085186,FILLED,51,1657,1745784851047,1162.952194
HYPER,SELL,LIMIT,IOC,1792,0.1924817,0.1943000,FILLED,1792,1792,1745784852534,344.9272064
MEMEFI,SELL,LIMIT,IOC,311182,0.0034602,0.0035123,FILLED,73976,311182,1745784854149,1076.7519564
FIS,SELL,LIMIT,IOC,24,0.2732721,0.2758400,FILLED,24,24,1745784862310,6.5585304
ALPACA,BUY,LIMIT,IOC,281,0.1876637,0.1789544,FILLED,126,281,1745784865578,52.733499699999996
ALPACA,BUY,LIMIT,IOC,3020,0.1884618,0.1775559,FILLED,15,3020,1745784868664,569.154636
FIS,SELL,LIMIT,IOC,2244,0.2728500,0.2752319,FILLED,1982,2244,1745784869288,612.2754
FLM,SELL,LIMIT,IOC,797,0.0368,0.0374,FILLED,287,797,1745784871222,29.3296
XRPUSDC,BUY,LIMIT,IOC,11.8,2.3042,2.2936,FILLED,11.8,11.8,1745784893291,27.18956
XRP,BUY,LIMIT,IOC,2.5,2.3044,2.2935,FILLED,0.1,2.5,1745784894312,5.760999999999999
XRPUSDC,BUY,LIMIT,IOC,458.7,2.3052,2.2934,FILLED,458.7,458.7,1745784896271,1057.39524
BTC,SELL,LIMIT,IOC,0.010,92556.22,92880.00,FILLED,0.010,0.010,1746021614097,925.5622000000001
DOT,SELL,LIMIT,IOC,42.1,4.006,4.029,FILLED,42.1,42.1,1746021614222,168.6526
BTCUSDC,SELL,LIMIT,IOC,0.070,92602.8,92900.0,FILLED,0.015,0.070,1746021614399,6482.196000000001
WCT,SELL,LIMIT,IOC,1498,0.3522000,0.3703999,FILLED,1,1498,1746021615042,527.5956
T,SELL,LIMIT,IOC,35217,0.0161000,0.0169300,FILLED,13388,35217,1746021615042,566.9937
1000PEPEUSDC,SELL,LIMIT,IOC,351249,0.0080511,0.0084643,FILLED,5548,351249,1746021615042,2827.9408239
EOS,SELL,LIMIT,IOC,1539.9,0.653,0.655,FILLED,1501.5,1539.9,1746021615075,1005.5547000000001
ADA,SELL,LIMIT,IOC,147,0.66146,0.66420,FILLED,107,147,1746021615090,97.23462
BTC,SELL,LIMIT,IOC,0.006,92549.91,92862.30,FILLED,0.006,0.006,1746021615123,555.2994600000001
STORJ,SELL,LIMIT,IOC,5873,0.2885,0.2935,FILLED,738,5873,1746021615260,1694.3604999999998
CTSI,SELL,LIMIT,IOC,11503,0.0641,0.0644,FILLED,9641,11503,1746021615274,737.3423
RUNE,SELL,LIMIT,IOC,1057,1.2767,1.2880,FILLED,1057,1057,1746021615373,1349.4719
TRUMP,SELL,LIMIT,IOC,384.00,11.948888,12.053072,FILLED,169.69,384.00,1746021615378,4588.3729920000005
XRP,SELL,LIMIT,IOC,1951.0,2.1153,2.1243,FILLED,1951.0,1951.0,1746021615378,4126.9502999999995
XLM,SELL,LIMIT,IOC,5379,0.26478,0.26714,FILLED,240,5379,1746021615378,1424.25162
DOT,SELL,LIMIT,IOC,583.9,4.006,4.026,FILLED,8.1,583.9,1746021615421,2339.1034
ETC,SELL,LIMIT,IOC,500.00,16.122,16.161,FILLED,16.68,500.00,1746021615468,8061.0
TON,SELL,LIMIT,IOC,36.7,3.0954452,3.1216000,FILLED,36.7,36.7,1746021615523,113.60283884
INJ,SELL,LIMIT,IOC,32.5,9.091898,9.170000,FILLED,22.9,32.5,1746021615531,295.486685
FIL,SELL,LIMIT,IOC,2000.0,2.662,2.673,FILLED,451.8,2000.0,1746021615537,5324.0
BTCUSDC,SELL,LIMIT,IOC,0.056,92582.6,92896.8,FILLED,0.056,0.056,1746021615559,5184.6256
ETH,SELL,LIMIT,IOC,0.097,1731.32,1735.81,FILLED,0.038,0.097,1746021615660,167.93804
NEO,SELL,LIMIT,IOC,6.37,5.754,5.782,FILLED,2.55,6.37,1746021615660,36.65298
ADA,SELL,LIMIT,IOC,54,0.66142,0.66410,FILLED,54,54,1746021616140,35.716680000000004
BTC,SELL,LIMIT,IOC,0.002,92530.26,92888.00,FILLED,0.002,0.002,1746021616234,185.06052
BRETT,SELL,LIMIT,IOC,15806,0.0568936,0.0574262,FILLED,416,15806,1746021616339,899.2602416000001
ARB,SELL,LIMIT,IOC,91.5,0.313497,0.315300,FILLED,91.5,91.5,1746021616348,28.684975500000004
SHELL,SELL,LIMIT,IOC,4332,0.2198185,0.2241896,FILLED,449,4332,1746021616414,952.253742
VET,SELL,LIMIT,IOC,26135,0.025407,0.025536,FILLED,2558,26135,1746021616414,664.011945
MAGIC,SELL,LIMIT,IOC,1900.4,0.208840,0.211100,FILLED,217.4,1900.4,1746021616414,396.87953600000003
PERP,SELL,LIMIT,IOC,783.2,0.312915,0.318200,FILLED,571.2,783.2,1746021616414,245.075028
TAO,SELL,LIMIT,IOC,51.275,331.26,335.08,FILLED,0.199,51.275,1746021616473,16985.356499999998
HBAR,SELL,LIMIT,IOC,177,0.17429,0.17594,FILLED,177,177,1746021616498,30.84933
BICO,SELL,LIMIT,IOC,9943,0.1282369,0.1292737,FILLED,2562,9943,1746021616520,1275.0594967
SYN,SELL,LIMIT,IOC,4423,0.2629454,0.2664290,FILLED,799,4423,1746021616520,1163.0075042
GRASS,SELL,LIMIT,IOC,40.2,1.4722446,1.4871000,FILLED,40.2,40.2,1746021616526,59.18423292000001
ONDO,SELL,LIMIT,IOC,721.1,0.8660639,0.8743430,FILLED,410.6,721.1,1746021616578,624.51867829
1MBABYDOGE,SELL,LIMIT,IOC,10238,0.0012137,0.0012245,FILLED,10238,10238,1746021617072,12.4258606
BTCUSDC,SELL,LIMIT,IOC,0.006,92562.9,92915.9,FILLED,0.006,0.006,1746021617082,555.3774
DOT,SELL,LIMIT,IOC,116.1,4.005,4.029,FILLED,116.1,116.1,1746021617302,464.98049999999995
